Date,month,GDP_Construction_Rs_Crs,GDP_Real Estate_Rs_Crs,Oveall_GDP_Growth%,water_source,limestone,Coal(in metric tones),Home_Interest_Rate,Trasportation_Cost,order_quantity_milliontonne,Sales,unit_price,Total_Price
1/1/2015,1,214180,481401,7.5,178.06,169.76,45.54,10.15,322.07,4.798,4.598,350.23,1610.35754
2/1/2015,2,214180,481401,8,169.09,238.44,46.66,10,316.92,4.318,4.308,350.31,1509.13548
3/1/2015,3,214180,481401,8.5,170.73,176.68,33.45,9.1,286.48,3.719,3.659,355.89,1302.20151
4/1/2015,4,218253,594978,8.6,266.73,234.24,38.66,10.2,286.29,3.583,3.51,354.63,1244.7513
5/1/2015,5,218253,594978,8.5,243.53,220.01,28.99,9.9,300.3,3.581,3.541,353.36,1251.24776
6/1/2015,6,218253,594978,8.1,296.44,145.35,33.33,10.35,361.65,3.989,3.976,363.83,1446.58808
7/1/2015,7,205790,669973,6.3,196.79,169.82,12.33,10.75,253.55,3.039,3.021,399.67,1207.40307
8/1/2015,8,205790,669973,5.5,186.68,111.54,21.33,10.75,248.88,3.159,3.148,359.36,1131.26528
9/1/2015,9,205790,669973,5.9,126.41,155.58,23.22,10.75,279.4,3.208,3.158,384.67,1214.78786
10/1/2015,10,216449,506288,6.9,123.92,125.86,24.33,10.75,272.98,3.297,3.21,354.33,1137.3993
11/1/2015,11,216449,506288,7.1,175.43,124.66,48.22,10.15,385,4.161,4.127,373.15,1539.99005
12/1/2015,12,216449,506288,7.3,209.97,110.88,42.12,9.75,352.15,4.499,4.439,377.77,1676.92103
1/1/2016,1,224843,523546,7.6,196.35,106.65,46.88,9.45,512.91,5.916,5.856,398.12,2331.39072
2/1/2016,2,224843,523546,7.8,237.7,168.8,57.88,9.2,438.68,4.986,4.876,391.16,1907.29616
3/1/2016,3,224843,523546,7.4,212.48,113.86,32.77,9.1,357.14,3.905,3.865,385.02,1488.1023
4/1/2016,4,234541,675149,7.6,227.36,242.34,36.77,9.05,360.21,3.902,3.872,372.12,1440.84864
5/1/2016,5,234541,675149,7.9,152.07,128.46,31.92,9,326.95,4.101,4.051,384.33,1556.92083
6/1/2016,6,234541,675149,8.5,194.53,156.97,39.11,9,332.14,4.181,4.131,365.46,1509.71526
7/1/2016,7,222844,745019,6.8,115.59,148.59,26.34,9,314.5,3.597,3.527,387.69,1367.38263
8/1/2016,8,222844,745019,7.3,232.33,100.75,23.22,8.95,315.91,3.397,3.347,393.27,1316.27469
9/1/2016,9,222844,745019,7.5,220.04,191.27,25.34,8.95,316.51,3.418,3.408,371.49,1266.03792
10/1/2016,10,232427,532370,9.2,165.85,189.6,28.99,8.9,275.88,3.531,3.491,376.32,1313.73312
11/1/2016,11,232427,532370,9.5,106.49,205.54,59.77,8.75,392.27,4.608,4.588,388.63,1783.03444
12/1/2016,12,232427,532370,8.6,164.76,189.42,40.33,8.75,437.55,5.176,5.126,371.13,1902.41238
1/1/2017,1,226632,540429,9.1,145.23,202.07,67.88,7.85,518.53,5.655,5.615,384.78,2160.5397
2/1/2017,2,226632,540429,8.9,152,203.2,55.77,7.85,443.78,4.755,4.715,376.48,1775.1032
3/1/2017,3,226632,540429,8.1,256.68,205.47,34.77,7.85,305.09,4.129,4.121,352.54,1452.81734
4/1/2017,4,235401,694096,9.5,282.16,178.7,40.66,7.85,342.3,3.981,3.978,391.13,1555.91514
5/1/2017,5,235401,694096,9.9,240.03,141.04,44.99,7.85,340.54,3.988,3.981,371.92,1480.61352
6/1/2017,6,235401,694096,9.7,248.76,170.67,42.33,7.85,371.04,4.311,4.302,359.37,1546.00974
7/1/2017,7,226647,740833,7.1,222.09,133.08,27.66,7.85,341.74,3.435,3.428,398.76,1366.94928
8/1/2017,8,226647,740833,6.2,278.36,137.4,22.44,7.85,281.58,3.412,3.401,394.26,1340.87826
9/1/2017,9,226647,740833,6.8,208.35,112.53,15.66,7.85,280.55,3.337,3.299,386.55,1275.22845
10/1/2017,10,243991,694096,5.9,181.85,220.96,20.77,7.85,300.85,3.561,3.552,368.25,1308.024
11/1/2017,11,243991,694096,6.8,218.09,244.23,63.66,7.8,409.54,4.321,4.316,395.37,1706.41692
12/1/2017,12,243991,694096,6.2,144.71,226.66,60.44,7.8,497.58,5.291,5.286,376.53,1990.33758
1/1/2018,1,258266,740833,6.4,117.12,175.94,70.66,7.8,500.87,6.997,6.989,358.33,2504.36837
2/1/2018,2,258266,740833,5.3,267.83,135.21,66.88,7.8,412.95,5.686,5.678,363.64,2064.74792
3/1/2018,3,258266,740833,5.7,161.93,145.62,47.77,7.8,342.23,4.721,4.715,362.92,1711.1678
4/1/2018,4,251354,550115,6.8,260.51,140.52,63.33,7.8,302.09,4.195,4.189,360.57,1510.42773
5/1/2018,5,251354,550115,6.3,227.16,153.29,55.88,7.8,336.67,4.471,4.465,377.01,1683.34965
6/1/2018,6,251354,550115,6.4,245.67,216.59,56.99,7.9,398.37,5.323,5.316,374.69,1991.85204
7/1/2018,7,239219,552146,6.8,201.5,235.12,24.66,7.9,275.83,3.799,3.791,363.8,1379.1658
8/1/2018,8,239219,552146,7.4,190.63,154.91,25.77,7.9,281.92,3.803,3.799,371.04,1409.58096
9/1/2018,9,239219,552146,8.9,153.47,220.86,22.88,8.1,282.41,3.934,3.915,360.68,1412.0622
10/1/2018,10,260988,735941,8.6,298.67,172.73,34.66,8.15,313.66,4.161,4.142,378.63,1568.28546
11/1/2018,11,260988,735941,8.7,151.53,136.87,75.99,8.15,352.36,4.854,4.842,363.86,1761.81012
12/1/2018,12,260988,735941,7.3,103.25,109.22,66.09,8.2,487.68,6.595,6.509,374.62,2438.40158
1/1/2019,1,259728,796851,6.9,158.39,189.09,67.88,8.2,594.64,9.047,7.491,396.9,2973.1779
2/1/2019,2,259728,796851,7.1,184.81,208.14,67.99,8.2,557.99,7.298,7.289,382.76,2789.93764
3/1/2019,3,259728,796851,7.3,246.43,154.27,45.65,8.2,498.57,6.551,6.544,380.94,2492.87136
4/1/2019,4,240792,857081,6.8,294.1,107.28,55.76,8.15,471.88,6.031,6.001,393.17,2359.41317
5/1/2019,5,240792,857081,6.3,220.11,199.53,60.77,8.1,475.83,6.223,6.215,382.81,2379.16415
6/1/2019,6,240792,857081,5.5,232.53,100.43,64.11,8.1,543.78,7.131,7.101,382.89,2718.90189
7/1/2019,7,257708,616370,5.9,160.48,165.31,22.54,8.05,396.42,5.213,5.199,381.25,1982.11875
8/1/2019,8,257708,616370,6.8,237.86,163.96,34.55,7.9,476.03,6.024,6.012,395.9,2380.1508
9/1/2019,9,257708,616370,4.1,233.49,173.76,27.76,7.8,405.71,5.713,5.701,355.82,2028.52982
10/1/2019,10,280451,627091,5.8,234.81,173.41,36.77,7.7,500.01,6.381,6.376,392.1,2500.0296
11/1/2019,11,280451,627091,6.4,186.4,224.76,75.77,7.65,481.15,6.595,6.587,365.23,2405.77001
12/1/2019,12,280451,627091,4.9,281.54,177.12,68.76,7.65,592.05,7.484,7.481,395.7,2960.2317
1/1/2020,1,131437,787925,5.5,186.6,126.95,65.77,7.65,636.49,8.232,8.226,386.88,3182.47488
2/1/2020,2,131437,787925,6.5,244.24,207.56,77.88,7.6,509.02,7.223,7.216,352.7,2545.0832
3/1/2020,3,131437,787925,4,293.01,168.73,45.77,7.45,496.81,6.251,6.245,397.77,2484.07365
4/1/2020,4,224897,812102,4.4,105,151.05,50.11,7.1,433.25,5.932,5.925,365.61,2166.23925
5/1/2020,5,224897,812102,4.6,277.95,218.28,46.88,6.95,476.83,5.991,5.984,398.42,2384.14528
6/1/2020,6,224897,812102,4.8,174.03,204.28,48.89,6.7,539.54,6.899,6.891,391.48,2697.68868
7/1/2020,7,274752,679654,4.1,190.34,146.26,37.55,6.65,386.66,4.882,4.875,396.57,1933.27875
8/1/2020,8,274752,679654,3.1,224.42,204.88,20.55,6.65,394.15,5.621,5.615,350.98,1970.7527
9/1/2020,9,274752,679654,2.7,167.42,162.84,26.66,6.65,418.15,5.851,5.842,357.88,2090.73496
10/1/2020,10,331741,682224,1,180.76,134.82,27.44,6.65,432.97,5.919,5.912,366.18,2164.85616
11/1/2020,11,331741,682224,1,288.97,149.52,65.88,6.65,469.33,6.023,6.016,390.07,2346.66112
12/1/2020,12,331741,682224,1,170.09,174.45,61.87,6.65,613.51,8.229,8.124,377.59,3067.54116
1/1/2021,1,225166,805847,-24.1,180.75,143.24,55.66,6.65,715.42,8.963,8.954,399.5,3577.123
2/1/2021,2,225166,805847,-28.3,174.66,149.86,67.88,6.65,563.57,7.873,7.864,358.32,2817.82848
3/1/2021,3,225166,805847,-20.8,222.11,184.73,37.99,6.65,529.27,6.921,6.915,382.7,2646.3705
4/1/2021,4,24071,861973,-8.4,266.42,201.74,39.88,6.65,481.32,6.903,6.873,350.15,2406.58095
5/1/2021,5,24071,861973,-8.4,156.43,247.28,50.66,6.65,546.43,7.046,6.946,393.34,2732.13964
6/1/2021,6,24071,861973,-5.5,226.69,244.31,49.67,6.65,574.88,7.305,7.245,396.74,2874.3813
7/1/2021,7,264074,708165,0.5,227.44,101.67,25.77,6.65,410.44,5.603,5.543,370.23,2052.18489
8/1/2021,8,264074,708165,0.5,207.97,212.22,26.66,6.65,457.88,5.995,5.915,387.05,2289.40075
9/1/2021,9,264074,708165,0.5,164.79,119.81,22.12,6.65,498.4,6.622,6.542,380.92,2491.97864
10/1/2021,10,338283,711375,1,119.2,172.81,34.77,6.65,542.25,6.881,6.781,399.83,2711.24723
11/1/2021,11,338283,711375,1.4,166.38,106.19,77.44,6.65,522.9,6.912,6.872,380.46,2614.52112
12/1/2021,12,338283,711375,2.4,120.73,206.77,67.55,6.65,609.19,8.311,8.011,380.22,3045.94242
1/1/2022,1,262918,880313,15.2,274.49,192.36,65.88,6.65,672.64,8.921,8.921,377,3363.217
2/1/2022,2,262918,880313,24.5,140.32,199.06,58.99,6.65,630.51,8.445,8.345,377.78,3152.5741
3/1/2022,3,262918,880313,20.6,277.7,124.03,47.88,6.65,570.46,8.038,7.985,357.21,2852.32185
4/1/2022,4,259098,924137,9.4,260.72,147.71,42.22,6.75,580.3,7.528,7.456,389.15,2901.5024
5/1/2022,5,259098,924137,7.4,211.97,115.78,36.99,6.85,557.14,7.831,7.762,358.89,2785.70418
6/1/2022,6,259098,924137,8.4,289.58,219.23,55.77,7.05,653.65,8.392,8.216,397.79,3268.24264
7/1/2022,7,273487,816470,,137.05,133.01,22.66,7.15,431.97,6.091,5.912,365.33,2159.83096
8/1/2022,8,273487,816470,,121.56,141.74,21.65,7.35,494.93,6.317,6.245,396.26,2474.6437
9/1/2022,9,273487,816470,,247.73,168.44,24.66,7.35,520.41,7.126,7.015,370.93,2602.07395
10/1/2022,10,324378,843219,,262.48,146.56,35.77,7.6,517.85,7.223,7.152,362.03,2589.23856
11/1/2022,11,324378,843219,,150.98,159.77,70.66,7.75,581.14,8.229,8.124,357.67,2905.71108
12/1/2022,12,324378,843219,,151.63,195.44,77.88,8,690.66,8.701,8.954,385.67,3453.28918
